source_workbook,source_sheet,source_row_number,cow_id,replication,thi_category,genetic_group,dry_matter_intake_kg_day
"DMI, milk yield and composition.xlsx",Sheet1,237,207,1,T2,HF50,8.88
"DMI, milk yield and composition.xlsx",Sheet1,238,207,2,T2,HF50,9.22
"DMI, milk yield and composition.xlsx",Sheet1,239,207,3,T2,HF50,9.32
"DMI, milk yield and composition.xlsx",Sheet1,240,207,4,T2,HF50,8.68
"DMI, milk yield and composition.xlsx",Sheet1,241,207,5,T2,HF50,9.3
"DMI, milk yield and composition.xlsx",Sheet1,242,208,1,T0,HF50,9.97
"DMI, milk yield and composition.xlsx",Sheet1,243,208,2,T0,HF50,8.81
"DMI, milk yield and composition.xlsx",Sheet1,244,208,3,T0,HF50,9.66
"DMI, milk yield and composition.xlsx",Sheet1,245,208,4,T0,HF50,10.06
"DMI, milk yield and composition.xlsx",Sheet1,246,208,5,T0,HF50,9.86
"DMI, milk yield and composition.xlsx",Sheet1,247,208,1,T1,HF50,9.14
"DMI, milk yield and composition.xlsx",Sheet1,248,208,2,T1,HF50,8.83
"DMI, milk yield and composition.xlsx",Sheet1,249,208,3,T1,HF50,9.32
"DMI, milk yield and composition.xlsx",Sheet1,250,208,4,T1,HF50,8.86
"DMI, milk yield and composition.xlsx",Sheet1,251,208,5,T1,HF50,9.24
"DMI, milk yield and composition.xlsx",Sheet1,252,208,1,T2,HF50,8.81
"DMI, milk yield and composition.xlsx",Sheet1,253,208,2,T2,HF50,8.09
"DMI, milk yield and composition.xlsx",Sheet1,254,208,3,T2,HF50,8.98
"DMI, milk yield and composition.xlsx",Sheet1,255,208,4,T2,HF50,9.25
"DMI, milk yield and composition.xlsx",Sheet1,256,208,5,T2,HF50,8.61
"DMI, milk yield and composition.xlsx",Sheet1,257,209,1,T0,HF50,10.71
"DMI, milk yield and composition.xlsx",Sheet1,258,209,2,T0,HF50,9.27
"DMI, milk yield and composition.xlsx",Sheet1,259,209,3,T0,HF50,10.0
"DMI, milk yield and composition.xlsx",Sheet1,260,209,4,T0,HF50,9.43
"DMI, milk yield and composition.xlsx",Sheet1,261,209,5,T0,HF50,10.03
